"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"21","2105989","NORDESTE","MA","MARANHÃO","LAJEADO NOVO","CERRADO","1","1","106445.50000000000","106445.51776500000","1.00000016690","5416.44985559","13","2018"
"21","2105989","NORDESTE","MA","MARANHÃO","LAJEADO NOVO","CERRADO","1","1","106445.50000000000","106445.51776500000","1.00000016690","28212.75245307","15","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","100.39612119","24","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","4193.18375515","25","2018"
"17","1715705","NORTE","TO","TOCANTINS","PALMEIRANTE","CERRADO","1","1","264081.59999999998","264081.56680799997","0.99999987431","10040.05895684","19","2018"
"21","2109007","NORDESTE","MA","MARANHÃO","PORTO FRANCO","CERRADO","1","1","141749.29999999999","141749.30477700001","1.00000003370","32977.96942342","4","2018"
"21","2109007","NORDESTE","MA","MARANHÃO","PORTO FRANCO","CERRADO","1","1","141749.29999999999","141749.30477700001","1.00000003370","20632.37131742","12","2018"
"21","2109007","NORDESTE","MA","MARANHÃO","PORTO FRANCO","CERRADO","1","1","141749.29999999999","141749.30477700001","1.00000003370","3820.70515752","13","2018"
"21","2109007","NORDESTE","MA","MARANHÃO","PORTO FRANCO","CERRADO","1","1","141749.29999999999","141749.30477700001","1.00000003370","38656.78263092","15","2018"
"21","2105989","NORDESTE","MA","MARANHÃO","LAJEADO NOVO","CERRADO","1","1","106445.50000000000","106445.51776500000","1.00000016690","98.85266621","19","2018"
"21","2105989","NORDESTE","MA","MARANHÃO","LAJEADO NOVO","CERRADO","1","1","106445.50000000000","106445.51776500000","1.00000016690","69.87000617","24","2018"
"21","2105989","NORDESTE","MA","MARANHÃO","LAJEADO NOVO","CERRADO","1","1","106445.50000000000","106445.51776500000","1.00000016690","441.13539042","25","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","1785.72112985","33","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","160069.72475703","3","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","208254.90650901","4","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","21.87290251","9","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","234942.56053246","12","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","12887.39581140","15","2018"
"17","1709005","NORTE","TO","TOCANTINS","GOIATINS","CERRADO","1","1","640860.19999999995","640792.50149699999","0.99989436307","18508.58345395","19","2018"
"51","5107859","CENTRO-OESTE","MT","MATO GROSSO","SÃO FÉLIX DO ARAGUAIA","CERRADO","1","0","1671347.50000000000","586363.97144800005","0.35083306820","78.85183253","24","2018"
"51","5107859","CENTRO-OESTE","MT","MATO GROSSO","SÃO FÉLIX DO ARAGUAIA","CERRADO","1","0","1671347.50000000000","586363.97144800005","0.35083306820","1965.02509609","25","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","481.13302283","33","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","48335.62169507","3","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","33167.74565423","4","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","34.22263219","33","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","14161.19779685","3","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","18067.64832480","12","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","14951.44032340","4","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","1314.24340459","12","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","11207.82082503","13","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","37245.42853003","15","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","5825.62668505","19","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","89139.81025761","15","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","7819.89543825","19","2018"
"17","1717909","NORTE","TO","TOCANTINS","PONTE ALTA DO TOCANTINS","CERRADO","0","1","649112.50000000000","649112.48427999998","0.99999997578","22.75813095","24","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","345.02155882","24","2018"
"17","1713304","NORTE","TO","TOCANTINS","MIRANORTE","CERRADO","1","1","103162.39999999999","98381.25168810000","0.95365415779","133.46809862","25","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","64.24567649","24","2018"
"17","1712504","NORTE","TO","TOCANTINS","MARIANÓPOLIS DO TOCANTINS","CERRADO","1","1","209137.39999999999","209137.41742899999","1.00000008334","815.88287674","25","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","1150.66846599","33","2018"
"17","1712801","NORTE","TO","TOCANTINS","MAURILÂNDIA DO TOCANTINS","CERRADO","1","1","73810.50000000000","73810.54875200000","1.00000066050","21472.48858470","3","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","11.73131224","33","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","15121.37377679","3","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","12626.16288630","4","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","4095.52730556","12","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","810.72766344","13","2018"
"17","1714302","NORTE","TO","TOCANTINS","NAZARÉ","CERRADO","1","1","39590.70000000000","39590.68633720000","0.99999965490","6833.13885050","15","2018"
"17","1718402","NORTE","TO","TOCANTINS","PRESIDENTE KENNEDY","CERRADO","1","1","77042.30000000000","54959.81649990000","0.71337195930","533.28652935","25","2018"
"17","1713700","NORTE","TO","TOCANTINS","MONTE SANTO DO TOCANTINS","CERRADO","1","1","109155.30000000000","109155.31414100000","1.00000012955","110.44021741","33","2018"
